Open,High,Low,Volume,Close
318,322.440002,308.809998,13079300,319.269989
318.410004,318.880005,311.190002,7649100,311.859985
310.269989,311.850006,303.690002,7447400,305.01001
302.26001,304.600006,297.720001,7216700,303.149994
302,305.309998,298.600006,5375100,301.660004
296.940002,298.190002,288,8350500,288.950012
285.049988,286.779999,277.179993,7720800,280.73999
284.799988,291.170013,278.880005,7480800,280.950012
260.100006,268.350006,252.25,22491900,263.23999
273.26001,286.029999,271,14283500,285.5
279.470001,282,273.549988,9170000,279.440002
281.440002,292.5,278.649994,10015400,290.540009
288.019989,295,285.179993,6340300,289.459991
288.76001,297.329987,286.519989,6765600,295.200012
290.040009,300.869995,288.130005,6887600,294.839996
296.690002,302.640015,275.5,16547500,284.959991
280.51001,300,280.5,8294900,299.019989
303.559998,305.980011,293.329987,7349400,298.329987
297.700012,300.579987,295.369995,5050500,299.100006
298.480011,303,293.579987,4843000,299.679993
300,304.600006,296.5,4481700,300.98999
301.910004,313.890015,301.109985,7843200,309.579987
312.899994,314.959991,306.910004,8509100,307.519989
270.26001,278,260.559998,33649700,264.769989
305.769989,311.440002,301.049988,21777600,310.700012
313.950012,316.839996,299.149994,11743500,301.019989
303.329987,304.600006,291.570007,7995000,294.799988
293.950012,294,277.670013,9814200,281.829987
274.649994,274.880005,260,17944500,261.950012
264.519989,267.76001,249,13472700,250.559998
255.25,266.769989,253.300003,12060600,262.799988
264.609985,265.51001,247.770004,12815300,256.880005
257.529999,262.25,249.029999,8167700,252.229996
261,261.98999,252.009995,7201400,258.779999
259.059998,263.279999,254.539993,6200000,259.589996
265.700012,277.380005,262.23999,9526400,276.589996
282.399994,282.700012,265.799988,8655500,271.779999
269.290009,271,263,5421200,263.910004
267.390015,269.660004,253.5,9375500,260
260.679993,261.859985,252.589996,5600300,260.950012
263.869995,297.929993,262.100006,19027800,294.140015
301.049988,304.440002,285.730011,20058300,288.5
317.220001,321,301.01001,20840700,314.859985
308.25,339.899994,306.649994,27425500,330.899994
337.470001,347.160004,326.5,14486000,334.850006
328.390015,337.899994,322.26001,9126700,329.899994
332.540009,342,329.100006,7624300,337.320007
338.26001,347.839996,334.730011,8000100,344.279999
343.73999,349.200012,340.910004,7808000,346.410004
340.5,343.959991,330.140015,7831000,341.399994
339.070007,348.799988,336.089996,6762900,341.059998
343.339996,351.179993,340.799988,7374500,348.160004
348.5,357.579987,348.440002,7090700,351.399994
349,354,345.230011,5098800,350.51001
348.369995,349.779999,330.339996,6941500,331.279999
333.160004,344.700012,332.200012,5448600,338.730011
342.700012,347.109985,337.149994,5040300,344
342.329987,348.579987,339.040009,4625700,348.440002
345.190002,355.700012,345.119995,7206200,354.309998
356.339996,366.75,352.880005,9708900,353.470001
341.75,349.799988,333.549988,8004700,347.48999
352,353.100006,337.399994,4686800,338.190002
334.350006,337.5,325.549988,4202600,325.829987
325,346.220001,325,7992100,346
340.049988,346.959991,335.5,6358300,343.920013
345.98999,348.279999,342.209991,4127600,347.869995
347,347.5,339.549988,3080700,341.170013
341.829987,351.600006,338.26001,5629100,350.480011
360,366,352,8306500,358.48999
356.049988,368.679993,352,8461900,359.700012
356.01001,367.380005,350.76001,7842500,363.059998
369,379.48999,357.649994,11511200,357.970001
360,365.980011,353.119995,6613500,365.149994
369.910004,372.170013,360.230011,6308800,366.76001
369.420013,371.910004,365.160004,5027000,366.600006
370.149994,377.440002,366.75,7365900,376.790009
375,377.869995,364.329987,6337600,365.709991
362,365.700012,343.880005,7674000,348.420013
350.540009,351.549988,333.690002,7100000,337.029999
337.600006,347.01001,329.73999,8274200,332.970001
327.049988,330.290009,311.869995,9071900,315.380005
317.399994,323.470001,312.440002,8016800,319.769989
313.5,314.5,295.200012,5559900,295.390015
300,326.970001,294.089996,8163100,326.089996
319.839996,322.170013,301.5,8575100,316.130005
323.100006,336.23999,318.410004,9939000,333.869995
337.790009,339.209991,325.26001,6302300,332.799988
306.100006,315.130005,298.799988,11658600,310.119995
307,309.399994,297.380005,6954400,300.359985
306,318,302.730011,7394100,317.690002
321.720001,336.73999,317.75,7551200,334.959991
341.959991,344.01001,327.019989,7008500,335.350006
335.5,343.5,331.470001,5432900,338.529999
334.399994,345.390015,331.790009,6056400,344.970001
342.089996,348.410004,338.769989,5039100,347.26001
342.380005,342.5,334,5247300,334.399994
335,348.799988,334.5,6056600,344.429993
344.779999,352,343.5,4691700,346.049988
346.209991,351.5,344.149994,3676700,347.309998
323,327.130005,299.730011,24150800,302.26001
304.820007,308,295.5,12066700,298.920013
292.5,294.5,281.690002,12530000,287.589996
283.029999,293.679993,279.279999,8012200,291.51001
294.390015,298.519989,289.549988,7249600,297.040009
292.910004,297.459991,287.75,6423300,296.380005
295.269989,298.559998,291.799988,4621700,297.459991
300.450012,309,298.48999,11250300,308.769989
301,311.559998,294,12569200,307.019989
305.420013,316.100006,303.5,7283400,312.209991
312.980011,315.299988,301.880005,7352100,312.890015
312.48999,322.440002,312.25,6742800,321.350006
319.589996,324.23999,315.619995,5038500,317.220001
313.299988,314.700012,303,6520600,307.51001
306.829987,307.450012,298.5,5844200,305.799988
311.600006,318.600006,310.5,7129700,312.839996
316.200012,318.190002,309.619995,5517600,311.809998
312.350006,312.75,305.570007,5141600,308.170013
303.380005,306.769989,301,5200800,303.769989
304.5,308,303.899994,3904900,307.880005
306.559998,311.540009,305.470001,4168400,305.640015
304.410004,306.299988,299,7142100,302.559998
301.809998,303.23999,290.5,8909200,291.230011
294.48999,296.5,292.100006,5740600,294.709991
297.910004,302.899994,297,6626500,298.769989
292.220001,302.01001,288.769989,8582500,297.859985
301.779999,316.299988,300.549988,11183900,314.73999
318.920013,320,310.809998,10520700,319.880005
306.940002,307.130005,291.899994,22911400,294.790009
298.119995,299,282.779999,17096800,285.359985
282,284,270.100006,18764700,276.540009
276.480011,281.51001,274.390015,10335500,276.23999
278.839996,284.700012,274.25,9420000,276.589996
276.910004,285.589996,275.890015,8819600,284.140015
283.519989,291.279999,280.5,7392300,290.920013
286.48999,288.070007,281.059998,7504100,283.359985
283.899994,291.98999,282.700012,6844700,288.959991
292.450012,295.390015,288.290009,7103400,289.959991
283.51001,283.720001,274.399994,14785500,275.429993
276,278.049988,267.299988,10281000,269.48999
267.5,273.299988,263.459991,11800600,267.470001
